Company;Revenue Group (Reportable Segment);Revenue Line (company language);Line Item description (company language) — product/service only;Where text was found in 10-K
GOOG;Google Services;Google Search & other;Advertising shown on Google Search and other Google-owned properties (e.g., Gmail, Google Maps, Google Play), including traffic from search distribution partners using Google.com as default search.;Item 7 (MD&A) ? Google Services ? Google Advertising (definition bullets).
GOOG;Google Services;YouTube ads;Advertising shown on YouTube properties (i.e., ad inventory sold against YouTube).;Item 7 (MD&A) ? Google Services ? Google Advertising (definition bullets).
GOOG;Google Services;Google Network;Advertising served on Google Network properties participating in AdMob, AdSense, and Google Ad Manager (i.e., network/partner inventory monetized via Google’s ad stack).;Item 7 (MD&A) ? Google Services ? Google Advertising (definition bullets).
GOOG;Google Services;Google subscriptions, platforms, and devices;Non-advertising Google Services revenue primarily from: consumer subscriptions (YouTube TV, YouTube Music and Premium, NFL Sunday Ticket, Google One), platforms (Google Play app + in-app purchase sales), and devices (Pixel family), plus other products/services.;Item 7 (MD&A) ? Google Services ? Google subscriptions, platforms, and devices (definition bullets).
GOOG;Google Cloud;Google Cloud;"Cloud revenue from: Google Cloud Platform (consumption fees + subscriptions for infrastructure/platform services, incl. AI offerings such as AI infrastructure, Vertex AI, Gemini for Google Cloud; plus cybersecurity; data/analytics), Google Workspace subscriptions (enterprise communication/collaboration tools like Calendar, Gmail, Docs, Drive, Meet), and other enterprise services.";Item 7 (MD&A) ? Google Cloud (definition bullets).
GOOG;Other Bets;Other Bets;Revenue primarily from sale of healthcare-related services and internet services (Other Bets businesses).;Item 1 (Business) / Other Bets revenue description.
MSFT;Productivity and Business Processes;Microsoft 365 Commercial products and cloud services;"Business productivity/communications portfolio: Microsoft 365 Commercial cloud (Microsoft 365 Commercial, Enterprise Mobility + Security, cloud portion of Windows Commercial, per-user Power BI, Exchange, SharePoint, Teams, Microsoft 365 Security and Compliance, Microsoft 365 Copilot) plus Microsoft 365 Commercial products (Windows Commercial on-premises; Office licensed on-premises).";Segment description ? Productivity and Business Processes (primary components bullets).
MSFT;Productivity and Business Processes;Microsoft 365 Consumer products and cloud services;Consumer productivity offerings including Microsoft 365 Consumer subscriptions, Office licensed on-premises, and other consumer services.;Segment description ? Productivity and Business Processes (primary components bullets).
MSFT;Productivity and Business Processes;LinkedIn;Professional network monetization products including Talent Solutions, Marketing Solutions, Premium Subscriptions, and Sales Solutions.;Segment description ? Productivity and Business Processes (primary components bullets).
MSFT;Productivity and Business Processes;Dynamics products and cloud services;Business applications: Dynamics 365 (cloud applications across ERP, CRM, Power Apps, Power Automate) plus on-premises ERP and CRM applications.;Segment description ? Productivity and Business Processes (primary components bullets).
MSFT;Intelligent Cloud;Server products and cloud services;Cloud + server portfolio including Azure and other cloud services (cloud/AI consumption services, GitHub cloud services, Nuance Healthcare cloud services, virtual desktop offerings, other cloud services) and Server products (SQL Server, Windows Server, Visual Studio, System Center, related CALs, other on-prem offerings).;Segment description ? Intelligent Cloud (primary components bullets).
MSFT;Intelligent Cloud;Enterprise and partner services;Services ecosystem including Enterprise Support Services, Industry Solutions, Nuance professional services, Microsoft Partner Network, and Learning Experience.;Segment description ? Intelligent Cloud (primary components bullets).
MSFT;More Personal Computing;Windows and Devices;Windows OEM licensing (Windows Pro and non-Pro licenses sold through OEM channel) plus Devices (Surface and PC accessories).;Segment description ? More Personal Computing (primary components bullets).
MSFT;More Personal Computing;Gaming;Xbox hardware plus Xbox content and services (first- and third-party games and in-game content), Xbox Game Pass and other subscriptions, Xbox Cloud Gaming, advertising, and other cloud services.;Segment description ? More Personal Computing (primary components bullets).
MSFT;More Personal Computing;Search and news advertising;Advertising revenue from Bing and Copilot, Microsoft News, Microsoft Edge, and third-party affiliates.;Segment description ? More Personal Computing (primary components bullets).
